"Date","Time (GMT)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2024/03/09","00:00","3.679","5","-"
"2024/03/09","00:06","3.962","5.32","-"
"2024/03/09","00:12","4.241","5.63","-"
"2024/03/09","00:18","4.514","5.95","-"
"2024/03/09","00:24","4.78","6.26","-"
"2024/03/09","00:30","5.037","6.57","-"
"2024/03/09","00:36","5.284","6.88","-"
"2024/03/09","00:42","5.52","7.18","-"
"2024/03/09","00:48","5.745","7.46","-"
"2024/03/09","00:54","5.958","7.72","-"
"2024/03/09","01:00","6.158","7.95","-"
"2024/03/09","01:06","6.345","8.16","-"
"2024/03/09","01:12","6.519","8.35","-"
"2024/03/09","01:18","6.68","8.54","-"
"2024/03/09","01:24","6.827","8.68","-"
"2024/03/09","01:30","6.962","8.8","-"
"2024/03/09","01:36","7.084","8.9","-"
"2024/03/09","01:42","7.194","8.99","-"
"2024/03/09","01:48","7.293","9.06","-"
"2024/03/09","01:54","7.38","9.1","-"
"2024/03/09","02:00","7.457","9.11","-"
"2024/03/09","02:06","7.523","9.12","-"
"2024/03/09","02:12","7.581","9.11","-"
"2024/03/09","02:18","7.629","9.11","-"
"2024/03/09","02:24","7.669","9.1","-"
"2024/03/09","02:30","7.701","9.09","-"
"2024/03/09","02:36","7.725","9.07","-"
"2024/03/09","02:42","7.742","9.05","-"
"2024/03/09","02:48","7.752","9.04","-"
"2024/03/09","02:54","7.755","9.04","-"
"2024/03/09","03:00","7.751","9.03","-"
"2024/03/09","03:06","7.74","9.01","-"
"2024/03/09","03:12","7.722","8.99","-"
"2024/03/09","03:18","7.697","8.96","-"
"2024/03/09","03:24","7.664","8.91","-"
"2024/03/09","03:30","7.624","8.88","-"
"2024/03/09","03:36","7.576","8.82","-"
"2024/03/09","03:42","7.519","8.76","-"
"2024/03/09","03:48","7.454","8.7","-"
"2024/03/09","03:54","7.38","8.64","-"
"2024/03/09","04:00","7.296","8.58","-"
"2024/03/09","04:06","7.203","8.51","-"
"2024/03/09","04:12","7.099","8.41","-"
"2024/03/09","04:18","6.986","8.32","-"
"2024/03/09","04:24","6.862","8.22","-"
"2024/03/09","04:30","6.727","8.1","-"
"2024/03/09","04:36","6.582","7.99","-"
"2024/03/09","04:42","6.427","7.84","-"
"2024/03/09","04:48","6.261","7.69","-"
"2024/03/09","04:54","6.085","7.52","-"
"2024/03/09","05:00","5.899","7.34","-"
"2024/03/09","05:06","5.704","7.16","-"
"2024/03/09","05:12","5.499","6.97","-"
"2024/03/09","05:18","5.287","6.77","-"
"2024/03/09","05:24","5.067","6.55","-"
"2024/03/09","05:30","4.84","6.33","-"
"2024/03/09","05:36","4.607","6.1","-"
"2024/03/09","05:42","4.369","5.84","-"
"2024/03/09","05:48","4.126","5.59","-"
"2024/03/09","05:54","3.881","5.34","-"
"2024/03/09","06:00","3.634","5.1","-"
"2024/03/09","06:06","3.386","4.86","-"
"2024/03/09","06:12","3.139","4.62","-"
"2024/03/09","06:18","2.892","4.36","-"
"2024/03/09","06:24","2.649","4.12","-"
"2024/03/09","06:30","2.409","3.88","-"
"2024/03/09","06:36","2.174","3.63","-"
"2024/03/09","06:42","1.944","3.38","-"
"2024/03/09","06:48","1.721","3.14","-"
"2024/03/09","06:54","1.506","2.91","-"
"2024/03/09","07:00","1.299","2.68","-"
"2024/03/09","07:06","1.1","2.48","-"
"2024/03/09","07:12","0.911","2.25","-"
"2024/03/09","07:18","0.732","2.05","-"
"2024/03/09","07:24","0.563","1.87","-"
"2024/03/09","07:30","0.405","1.69","-"
"2024/03/09","07:36","0.257","1.54","-"
"2024/03/09","07:42","0.119","1.39","-"
"2024/03/09","07:48","-0.008","1.25","-"
"2024/03/09","07:54","-0.125","1.13","-"
"2024/03/09","08:00","-0.233","1.02","-"
"2024/03/09","08:06","-0.33","0.94","-"
"2024/03/09","08:12","-0.419","0.85","-"
"2024/03/09","08:18","-0.499","0.79","-"
"2024/03/09","08:24","-0.571","0.73","-"
"2024/03/09","08:30","-0.635","0.68","-"
"2024/03/09","08:36","-0.691","0.64","-"
"2024/03/09","08:42","-0.741","0.57","-"
"2024/03/09","08:48","-0.784","0.55","-"
"2024/03/09","08:54","-0.82","0.5","-"
"2024/03/09","09:00","-0.85","0.47","-"
"2024/03/09","09:06","-0.874","0.42","-"
"2024/03/09","09:12","-0.892","0.38","-"
"2024/03/09","09:18","-0.903","0.35","-"
"2024/03/09","09:24","-0.908","0.33","-"
"2024/03/09","09:30","-0.906","0.31","-"
"2024/03/09","09:36","-0.896","0.31","-"
"2024/03/09","09:42","-0.878","0.3","-"
"2024/03/09","09:48","-0.851","0.31","-"
"2024/03/09","09:54","-0.815","0.34","-"
"2024/03/09","10:00","-0.769","0.38","-"
"2024/03/09","10:06","-0.712","0.43","-"
"2024/03/09","10:12","-0.643","0.5","-"
"2024/03/09","10:18","-0.562","0.58","-"
"2024/03/09","10:24","-0.467","0.68","-"
"2024/03/09","10:30","-0.358","0.8","-"
"2024/03/09","10:36","-0.235","0.93","-"
"2024/03/09","10:42","-0.097","1.08","-"
"2024/03/09","10:48","0.056","1.25","-"
"2024/03/09","10:54","0.225","1.46","-"
"2024/03/09","11:00","0.41","1.66","-"
"2024/03/09","11:06","0.609","1.88","-"
"2024/03/09","11:12","0.824","2.1","-"
"2024/03/09","11:18","1.053","2.36","-"
"2024/03/09","11:24","1.296","2.64","-"
"2024/03/09","11:30","1.551","2.91","-"
"2024/03/09","11:36","1.818","3.22","-"
"2024/03/09","11:42","2.095","3.54","-"
"2024/03/09","11:48","2.382","3.85","-"
"2024/03/09","11:54","2.675","4.17","-"
"2024/03/09","12:00","2.975","4.5","-"
"2024/03/09","12:06","3.278","4.82","-"
"2024/03/09","12:12","3.584","5.14","-"
"2024/03/09","12:18","3.891","5.46","-"
"2024/03/09","12:24","4.196","5.77","-"
"2024/03/09","12:30","4.498","6.08","-"
"2024/03/09","12:36","4.795","6.39","-"
"2024/03/09","12:42","5.086","6.7","-"
"2024/03/09","12:48","5.37","6.99","-"
"2024/03/09","12:54","5.644","7.28","-"
"2024/03/09","13:00","5.908","7.55","-"
"2024/03/09","13:06","6.16","7.83","-"
"2024/03/09","13:12","6.401","8.08","-"
"2024/03/09","13:18","6.628","8.3","-"
"2024/03/09","13:24","6.841","8.51","-"
"2024/03/09","13:30","7.041","8.69","-"
"2024/03/09","13:36","7.226","8.84","-"
"2024/03/09","13:42","7.397","8.99","-"
"2024/03/09","13:48","7.554","9.11","-"
"2024/03/09","13:54","7.697","9.23","-"
"2024/03/09","14:00","7.826","9.32","-"
"2024/03/09","14:06","7.943","9.4","-"
"2024/03/09","14:12","8.046","9.46","-"
"2024/03/09","14:18","8.137","9.51","-"
"2024/03/09","14:24","8.216","9.55","-"
"2024/03/09","14:30","8.285","9.59","-"
"2024/03/09","14:36","8.343","9.63","-"
"2024/03/09","14:42","8.391","9.64","-"
"2024/03/09","14:48","8.429","9.67","-"
"2024/03/09","14:54","8.459","9.71","-"
"2024/03/09","15:00","8.48","9.73","-"
"2024/03/09","15:06","8.493","9.76","-"
"2024/03/09","15:12","8.498","9.79","-"
"2024/03/09","15:18","8.495","9.79","-"
"2024/03/09","15:24","8.485","9.79","-"
"2024/03/09","15:30","8.467","9.82","-"
